series,value
A,9.5433
A,4.5433
A,4.5433
A,6.0817
A,8.7743
A,10.6971
A,22.2356
A,34.5433
A,37.2356
A,37.6202
A,37.2356
A,35.6971
A,34.5433
A,38.3894
A,43.3894
A,47.6202
A,52.2356
A,55.3125
A,59.1587
A,59.9279
A,58.3894
A,56.851
A,56.0817
A,59.5433
A,61.851
A,64.9279
A,67.6202
A,69.9279
A,69.9279
A,68.004
A,67.2356
A,65.3125
A,62.2356
A,60.3125
A,58.3894
A,57.2356
A,47.6202
A,39.9279
A,1.0817
A,2.6202
A,-3.0048
A,-6.6202
A,-16.4663
A,-19.0817
A,-39.9279
A,-57.2356
A,-65.3125
A,-82.6202
A,-91.0817
A,-88.774
A,-77.6202
A,-66.0817
A,-64.5433
A,-54.5433
A,-45.3125
A,-46.4663
A,-49.9279
A,-40.6971
A,-37.6202
A,-36.0817
A,-35.3125
A,-39.5433
A,-38.774
A,-27.6202
A,-20.3125
A,-16.851
A,7.6202
A,8.774
A,13.774
A,18.774
A,28.0048
A,36.4663
A,40.3125
B,-9.5433
B,-4.5433
B,-4.5433
B,-6.0817
B,-8.7743
B,-10.6971
B,-22.2356
B,-34.5433
B,-37.2356
B,-37.6202
B,-37.2356
B,-35.6971
B,-34.5433
B,-38.3894
B,-43.3894
B,-47.6202
B,-52.2356
B,-55.3125
B,-59.1587
B,-59.9279
B,-58.3894
B,-56.851
B,-56.0817
B,-59.5433
B,-61.851
B,-64.9279
B,-67.6202
B,-69.9279
B,-69.9279
B,-68.004
B,-67.2356
B,-65.3125
B,-62.2356
B,-60.3125
B,-58.3894
B,-57.2356
B,-47.6202
B,-39.9279
B,-1.0817
B,-2.6202
B,3.0048
B,6.6202
B,16.4663
B,19.0817
B,39.9279
B,57.2356
B,65.3125
B,82.6202
B,91.0817
B,88.774
B,77.6202
B,66.0817
B,64.5433
B,54.5433
B,45.3125
B,46.4663
B,49.9279
B,40.6971
B,37.6202
B,36.0817
B,35.3125
B,39.5433
B,38.774
B,27.6202
B,20.3125
B,16.851
B,-7.6202
B,-8.774
B,-13.774
B,-18.774
B,-28.0048
B,-36.4663
B,-40.3125